ts,name,cpu_pct,mem
1788517048,spike-mysql,8.90%,945.2MiB / 3.826GiB
1788517048,spike-redis,1.34%,4.492MiB / 3.826GiB
1788517055,spike-mysql,6.79%,944.6MiB / 3.826GiB
1788517055,spike-redis,0.91%,4.484MiB / 3.826GiB
1788517062,spike-mysql,8.44%,944.4MiB / 3.826GiB
1788517062,spike-redis,1.21%,4.488MiB / 3.826GiB
1788517068,spike-mysql,7.11%,945MiB / 3.826GiB
1788517068,spike-redis,1.18%,4.75MiB / 3.826GiB
1788517075,spike-mysql,6.49%,944.3MiB / 3.826GiB
1788517075,spike-redis,0.94%,4.738MiB / 3.826GiB
1788517082,spike-mysql,7.13%,944.5MiB / 3.826GiB
1788517082,spike-redis,0.96%,4.488MiB / 3.826GiB
1788517089,spike-mysql,6.87%,944.8MiB / 3.826GiB
1788517089,spike-redis,1.23%,4.496MiB / 3.826GiB
1788517096,spike-mysql,7.95%,944.3MiB / 3.826GiB
1788517096,spike-redis,1.89%,4.484MiB / 3.826GiB
1788517103,spike-mysql,9.12%,944.8MiB / 3.826GiB
1788517103,spike-redis,1.24%,4.488MiB / 3.826GiB
1788517110,spike-mysql,6.61%,944.9MiB / 3.826GiB
1788517110,spike-redis,0.96%,4.492MiB / 3.826GiB
1788517116,spike-mysql,6.56%,944.4MiB / 3.826GiB
1788517116,spike-redis,1.03%,4.734MiB / 3.826GiB
1788517123,spike-mysql,9.48%,944.6MiB / 3.826GiB
1788517123,spike-redis,0.98%,4.484MiB / 3.826GiB
1788517130,spike-mysql,6.99%,945.4MiB / 3.826GiB
1788517130,spike-redis,1.62%,4.977MiB / 3.826GiB
1788517138,spike-mysql,6.10%,945.2MiB / 3.826GiB
1788517138,spike-redis,1.29%,4.484MiB / 3.826GiB
