ts,name,cpu_pct,mem
1788516958,spike-mysql,9.35%,948.8MiB / 3.826GiB
1788516958,spike-redis,0.77%,4.488MiB / 3.826GiB
1788516965,spike-mysql,9.86%,944.1MiB / 3.826GiB
1788516965,spike-redis,0.73%,4.742MiB / 3.826GiB
1788516972,spike-mysql,6.25%,944MiB / 3.826GiB
1788516972,spike-redis,0.62%,4.5MiB / 3.826GiB
1788516978,spike-mysql,9.42%,945.1MiB / 3.826GiB
1788516978,spike-redis,1.01%,4.773MiB / 3.826GiB
1788516985,spike-mysql,8.21%,945.2MiB / 3.826GiB
1788516985,spike-redis,1.07%,4.711MiB / 3.826GiB
1788516992,spike-mysql,6.95%,945.3MiB / 3.826GiB
1788516992,spike-redis,0.86%,4.477MiB / 3.826GiB
1788516999,spike-mysql,6.15%,944.6MiB / 3.826GiB
1788516999,spike-redis,0.94%,4.715MiB / 3.826GiB
1788517006,spike-mysql,7.29%,945.4MiB / 3.826GiB
1788517006,spike-redis,1.55%,4.465MiB / 3.826GiB
1788517012,spike-mysql,6.65%,944.8MiB / 3.826GiB
1788517012,spike-redis,1.03%,4.738MiB / 3.826GiB
1788517019,spike-mysql,7.56%,944.8MiB / 3.826GiB
1788517019,spike-redis,0.81%,4.48MiB / 3.826GiB
1788517026,spike-mysql,7.75%,945.4MiB / 3.826GiB
1788517026,spike-redis,1.86%,4.484MiB / 3.826GiB
1788517033,spike-mysql,7.75%,945.4MiB / 3.826GiB
1788517033,spike-redis,1.15%,4.488MiB / 3.826GiB
1788517039,spike-mysql,10.28%,945.2MiB / 3.826GiB
1788517039,spike-redis,1.30%,4.75MiB / 3.826GiB
1788517045,spike-mysql,9.16%,945MiB / 3.826GiB
1788517045,spike-redis,1.22%,4.734MiB / 3.826GiB
