ts,name,cpu_pct,mem
1788517138,spike-mysql,8.65%,944.7MiB / 3.826GiB
1788517138,spike-redis,1.29%,4.484MiB / 3.826GiB
1788517145,spike-mysql,8.49%,944.7MiB / 3.826GiB
1788517145,spike-redis,1.14%,4.738MiB / 3.826GiB
1788517152,spike-mysql,7.49%,944.9MiB / 3.826GiB
1788517152,spike-redis,1.98%,4.746MiB / 3.826GiB
1788517159,spike-mysql,10.75%,945.5MiB / 3.826GiB
1788517159,spike-redis,1.27%,4.73MiB / 3.826GiB
1788517166,spike-mysql,10.51%,944MiB / 3.826GiB
1788517166,spike-redis,1.59%,4.484MiB / 3.826GiB
1788517172,spike-mysql,13.95%,944.5MiB / 3.826GiB
1788517172,spike-redis,2.42%,4.484MiB / 3.826GiB
1788517178,spike-mysql,8.86%,944.3MiB / 3.826GiB
1788517178,spike-redis,1.73%,4.488MiB / 3.826GiB
1788517185,spike-mysql,9.34%,943.8MiB / 3.826GiB
1788517185,spike-redis,1.35%,4.738MiB / 3.826GiB
1788517192,spike-mysql,8.14%,944.6MiB / 3.826GiB
1788517192,spike-redis,1.88%,4.484MiB / 3.826GiB
1788517198,spike-mysql,11.28%,944.1MiB / 3.826GiB
1788517198,spike-redis,1.44%,4.484MiB / 3.826GiB
1788517205,spike-mysql,7.74%,944.8MiB / 3.826GiB
1788517205,spike-redis,1.20%,4.746MiB / 3.826GiB
1788517212,spike-mysql,9.58%,944.4MiB / 3.826GiB
1788517212,spike-redis,1.76%,4.547MiB / 3.826GiB
1788517219,spike-mysql,8.57%,944.7MiB / 3.826GiB
1788517219,spike-redis,1.33%,4.5MiB / 3.826GiB
1788517226,spike-mysql,8.84%,944.3MiB / 3.826GiB
1788517226,spike-redis,1.14%,4.738MiB / 3.826GiB
